tick,time
1693,1.2031
1694,3.2585
1695,0.383
1696,0.5925
1697,0.0412
1698,0.0359
1699,0.8884
1700,0.2884
1701,0.0321
1702,0.0395
1703,0.039
1704,0
1705,4.4652
1706,0.217
1707,0.6948
1708,0.1211
1709,0.6699
1710,0.9302
1711,1.2519
1712,5.3069
1713,0.3322
1714,2.5401
1715,0.0426
1716,5.6598
1717,4.4022
1718,0.0345
1719,5.0313
1720,0.0581
1721,6.0153
1722,0.0457
1723,3.0584
1724,0.0029
1725,5.4604
1726,0.0663
1727,1
1728,0.1326
1729,4.2241
1730,0.658
1731,1.3351
1732,0.5535
1733,0.0591
1734,0.4621
1735,3.0247
1736,0.0583
1737,0.3618
1738,0.3147
1739,0.0413
1740,4.6078
1741,0.0373
1742,3.8721
1743,1.0126
1744,0.004
1745,0.0436
1746,0.7662
1747,1.5751
1748,0.1247
1749,1.1059
1750,0.2165
1751,2.5496
1752,4.4025
1753,0.6486
1754,1.4565
1755,0.6405
1756,0.0567
1757,0.0433
1758,0.0385
1759,0.0351
1760,0.0754
1761,0.0334
1762,0.0469
1763,5.033
1764,4.1269
1765,0.0435
1766,1.2534
1767,1.5329
1768,1.0362
1769,1.551
1770,0.0316
1771,6.2497
1772,1.3735
1773,1.3799
1774,0.313
1775,0.0448
1776,1.1723
1777,0.0462
1778,0.04
1779,0.3999
1780,0.0543
1781,0.0378
1782,0.0384
1783,2.2428
1784,1.6944
1785,4.4223
1786,0.061
1787,0.5745
1788,1.2135
1789,0.0466
1790,0.0354
1791,0.1167
1792,0.961
1793,1.6623
1794,0.0884
1795,0.8823
1796,0.5802
1797,0.7818
1798,0.5753
1799,0.2416
1800,0.0507
1801,0.0385
1802,0.7781
1803,0.0395
1804,0
1805,0.7095
1806,0.6414
1807,0.0428
1808,0.2307
1809,0.0422
1810,0.0338
1811,0.1264
1812,0.036
1813,0.802
1814,0.1016
1815,4.3799
1816,0.0536
1817,0.5894
1818,0.0398
1819,0.6498
1820,0.0503
1821,0.4095
1822,0.0428
1823,0.0373
1824,0
1825,0.0298
1826,0.0573
1827,0.0432
1828,0.1227
1829,0.6198
1830,0.0339
1831,0.1041
1832,2.6523
1833,3.1207
1834,0.0908
1835,0.0434
1836,0.0553
1837,0.4552
1838,0.034
1839,0.5744
1840,0.0532
1841,0.0326
1842,0.3933
1843,0.4325
